CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0.00027008,0.99973
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0.00030251,0.9997
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,5.6153e-05,0.99994
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,2.7596e-05,0.99997
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,0.00030516,0.99969
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,0.00014834,0.99985
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0.00013405,0.99987
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,0.0001747,0.99983
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,0.00011377,0.99989
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,0.00038948,0.99961
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570,1495.0,1.077,1130,28,1.333,0.512,0.00020643,0.99979
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,0.98692,0.01308
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,2517,489.0,2.053,1661,32,1.0,0.837,0.00016883,0.99983
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294,0.00018475,0.99982
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0,1701,1679.0,0.747,1502,25,1.273,0.503,0.00010684,0.99989
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463,4.0349e-05,0.99996
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839.0,2295,1544.0,0.569,1271,24,0.714,0.598,6.9589e-05,0.99993
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42,9.2637e-05,0.99991
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387.0,0,3387.0,0.789,510,24,0.6,0.0,0.99432,0.00568
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234.0,1486,1748.0,0.868,1354,28,0.647,0.459,6.7249e-05,0.99993
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291,0.99673,0.00326713
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,2,3,3252.0,1495,1757.0,0.581,1227,15,0.875,0.46,0.0001597,0.99984
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133.0,1510,1623.0,0.609,1435,38,0.462,0.482,0.00010985,0.99989
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,0,3540.0,849,2691.0,0.456,1321,28,0.75,0.24,6.8225e-05,0.99993
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,3,2,3187.0,2430,757.0,0.617,1387,33,1.357,0.762,0.00018864,0.99981
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353.0,0,3353.0,1.021,960,18,0.385,0.0,0.99605,0.00394582
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401.0,0,3401.0,0.898,744,18,1.0,0.0,0.98217,0.01783
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342.0,2517,825.0,0.771,1139,30,0.765,0.753,0.00018864,0.99981
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1,3,3281.0,837,2444.0,1.859,1424,29,1.417,0.255,7.7279e-05,0.99992
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,2,3096.0,2217,879.0,0.799,2011,41,0.783,0.716,0.00017486,0.99983
709346133,Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue,35,3,3,0,3025.0,2376,649.0,1.252,1277,23,1.875,0.785,6.8225e-05,0.99993
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3,3265.0,2517,748.0,0.952,1843,35,0.944,0.771,0.00030516,0.99969
770590758,Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,29,5,2,0,3378.0,1069,2309.0,0.581,1285,16,0.333,0.316,4.3568e-05,0.99996
708967608,Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,45,3,1,2,3471.0,1785,1686.0,1.051,1052,24,0.714,0.514,5.1697e-05,0.99995
715024233,Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,3,2,3312.0,1844,1468.0,0.986,1740,32,0.882,0.557,0.00016413,0.99984
772712658,Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue,50,5,1,2,3791.0,1648,2143.0,1.227,2058,34,0.789,0.435,4.8595e-05,0.99995
715915458,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,34,5,2,2,3156.0,1644,1512.0,1.052,1151,31,1.385,0.521,0.00011382,0.99989
714914583,Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue,27,6,2,3,3751.0,1521,2230.0,0.974,1060,30,1.308,0.405,0.00020077,0.9998
772047183,Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue,34,6,3,3,3104.0,1766,1338.0,0.828,1353,24,1.182,0.569,0.00030842,0.99969
712506708,Existing Customer,39,F,3,College,Single,Less than $40K,Blue,25,6,1,2,3920.0,2008,1912.0,0.944,3178,53,0.656,0.512,5.5564e-05,0.99994
804359133,Existing Customer,55,M,0,High School,Married,$120K +,Blue,49,5,3,3,3805.0,2233,1572.0,1.095,1743,27,0.929,0.587,0.00025237,0.99975
717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106.0,1120,1986.0,1.045,683,17,0.7,0.361,0.9968,0.00320374
779241783,Existing Customer,67,M,1,Uneducated,Married,$40K - $60K,Blue,49,4,3,2,3106.0,1675,1431.0,0.781,1512,38,0.407,0.539,0.0001736,0.99983
717276708,Existing Customer,57,M,2,Unknown,Single,$80K - $120K,Blue,36,3,3,2,3127.0,2517,610.0,0.589,1470,30,1.143,0.805,0.00019771,0.9998
771180033,Existing Customer,47,F,4,Unknown,Divorced,$40K - $60K,Blue,34,6,1,2,3502.0,1851,1651.0,2.023,1814,31,0.722,0.529,6.3492e-05,0.99994
710519433,Existing Customer,48,M,1,Unknown,Divorced,$80K - $120K,Blue,36,3,1,0,3131.0,2517,614.0,0.602,1439,40,0.481,0.804,2.0961e-05,0.99998
795979833,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,47,6,1,2,3445.0,1074,2371.0,0.67,1074,31,0.632,0.312,5.0256e-05,0.99995
718640508,Existing Customer,59,F,0,Graduate,Single,Less than $40K,Blue,46,4,1,2,3044.0,1611,1433.0,0.74,1456,36,0.714,0.529,4.7263e-05,0.99995
709230708,Existing Customer,56,M,4,Uneducated,Single,Less than $40K,Blue,36,3,2,2,3864.0,1654,2210.0,0.491,1470,42,0.235,0.428,0.00012274,0.99988
719451483,Existing Customer,46,F,4,Post-Graduate,Married,Less than $40K,Blue,37,5,3,2,3773.0,1972,1801.0,0.783,1528,25,1.083,0.523,0.00022196,0.99978
718768158,Existing Customer,57,M,1,College,Single,$40K - $60K,Blue,48,3,1,2,3539.0,0,3539.0,0.781,1336,23,0.211,0.0,5.0261e-05,0.99995
713827383,Existing Customer,65,F,1,High School,Married,Less than $40K,Blue,36,3,2,0,3198.0,2493,705.0,0.665,1936,44,1.316,0.78,3.8311e-05,0.99996
712049208,Existing Customer,56,M,3,Post-Graduate,Married,$60K - $80K,Blue,39,3,1,2,3955.0,2517,1438.0,0.484,1238,25,1.083,0.636,6.7249e-05,0.99993
708688608,Existing Customer,62,F,1,High School,Married,Less than $40K,Blue,48,5,3,1,3140.0,1985,1155.0,1.346,1626,41,0.864,0.632,9.8983e-05,0.9999
793473033,Existing Customer,51,M,1,Graduate,Single,$60K - $80K,Blue,45,3,2,3,3228.0,2517,711.0,0.949,1349,33,1.357,0.78,0.00017969,0.99982
780253533,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651,6.2588e-05,0.99994
715158483,Existing Customer,48,F,3,Graduate,Divorced,Less than $40K,Blue,40,3,2,3,3117.0,1603,1514.0,1.167,1437,37,0.609,0.514,0.00019864,0.9998
709198158,Existing Customer,50,F,4,Graduate,Single,Less than $40K,Blue,36,6,2,0,3125.0,1928,1197.0,0.412,1631,46,0.533,0.617,4.4033e-05,0.99996
779445108,Existing Customer,26,M,0,Graduate,Single,$40K - $60K,Blue,13,6,1,2,3290.0,1616,1674.0,0.466,2781,54,0.35,0.491,4.7263e-05,0.99995
716149383,Existing Customer,62,M,0,Graduate,Married,$60K - $80K,Blue,36,6,3,3,3674.0,895,2779.0,0.658,1703,48,0.371,0.244,0.0002596,0.99974
789115833,Existing Customer,44,M,4,High School,Single,$60K - $80K,Blue,32,5,3,2,3233.0,1034,2199.0,0.759,1256,29,0.706,0.32,0.00018339,0.99982
717758583,Existing Customer,40,M,3,High School,Unknown,$60K - $80K,Blue,36,4,2,1,3624.0,1975,1649.0,0.708,1469,23,1.091,0.545,6.9242e-05,0.99993
753226158,Existing Customer,34,F,2,Graduate,Married,Less than $40K,Blue,24,6,2,2,3663.0,1853,1810.0,0.963,1826,35,1.059,0.506,0.00011382,0.99989
758317233,Existing Customer,35,F,1,College,Single,Unknown,Blue,28,4,5,2,3518.0,1575,1943.0,0.625,2121,60,0.579,0.448,0.00018334,0.99982
716829483,Existing Customer,39,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,4,2,2,3249.0,2217,1032.0,1.06,1988,36,0.895,0.682,0.00013897,0.99986
718943508,Existing Customer,42,M,3,Unknown,Single,$80K - $120K,Blue,33,3,3,2,3714.0,2170,1544.0,0.524,1454,35,0.522,0.584,0.00020516,0.99979
788785083,Existing Customer,44,F,3,College,Unknown,Less than $40K,Blue,25,6,3,2,3083.0,1040,2043.0,0.729,4311,78,0.56,0.337,0.00018146,0.99982
714529233,Existing Customer,36,F,2,Graduate,Married,Less than $40K,Blue,24,3,1,3,3124.0,1593,1531.0,0.869,1652,41,0.367,0.51,9.2637e-05,0.99991
711466533,Existing Customer,43,F,2,Graduate,Married,Less than $40K,Blue,33,5,2,2,3933.0,852,3081.0,0.433,1489,45,0.324,0.217,0.00011382,0.99989
719428308,Existing Customer,50,M,2,High School,Unknown,$60K - $80K,Blue,41,6,2,2,3244.0,1762,1482.0,0.661,1274,32,1.0,0.543,0.00011065,0.99989
712490283,Existing Customer,55,F,4,Graduate,Married,$40K - $60K,Blue,41,4,3,3,3156.0,2517,639.0,1.516,2091,48,0.778,0.798,0.00031726,0.99968
715041333,Existing Customer,39,M,3,Doctorate,Married,$60K - $80K,Blue,29,3,1,3,3537.0,2517,1020.0,1.021,1605,43,0.344,0.712,0.0001391,0.99986
796343058,Existing Customer,49,F,2,High School,Single,Less than $40K,Blue,43,4,1,2,3538.0,0,3538.0,0.481,1265,38,0.462,0.0,5.3542e-05,0.99995
809825358,Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,48,6,1,3,3428.0,1566,1862.0,0.557,1155,34,0.545,0.457,9.8837e-05,0.9999
718344033,Existing Customer,47,M,2,College,Married,$120K +,Blue,35,4,3,2,3636.0,1010,2626.0,0.596,1564,59,0.686,0.278,0.00017488,0.99983
716380683,Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,36,6,1,2,3880.0,1542,2338.0,1.015,1598,39,0.5,0.397,5.5559e-05,0.99994
716918508,Existing Customer,39,M,1,College,Single,$40K - $60K,Blue,24,4,3,3,3770.0,1197,2573.0,0.621,1602,49,0.441,0.318,0.00027607,0.99972
719068683,Existing Customer,52,F,1,High School,Married,$40K - $60K,Blue,36,5,1,2,3136.0,1864,1272.0,0.693,1036,25,0.25,0.594,5.0256e-05,0.99995
711146358,Existing Customer,39,F,1,Graduate,Married,Unknown,Blue,29,4,3,2,3358.0,1758,1600.0,0.723,1759,33,0.737,0.524,0.00016883,0.99983
778623858,Existing Customer,58,M,0,Uneducated,Married,$80K - $120K,Blue,38,6,3,3,3785.0,1935,1850.0,1.558,1824,49,1.45,0.511,0.00026692,0.99973
816089433,Existing Customer,49,M,4,Doctorate,Married,$60K - $80K,Blue,44,3,1,1,3343.0,1581,1762.0,1.146,1545,31,0.824,0.473,5.0408e-05,0.99995
712373208,Attrited Customer,43,M,3,Doctorate,Single,$60K - $80K,Blue,35,3,3,2,3312.0,0,3312.0,0.698,647,19,0.462,0.0,0.99631,0.00368792
720680058,Existing Customer,47,M,2,Post-Graduate,Married,Less than $40K,Blue,36,6,1,3,3888.0,1663,2225.0,0.664,1145,37,0.423,0.428,0.000109,0.99989
779759058,Existing Customer,52,M,0,Graduate,Single,$120K +,Blue,41,6,3,2,3386.0,1794,1592.0,0.671,1736,40,1.105,0.53,0.00015435,0.99985
823845783,Existing Customer,53,M,2,Unknown,Married,$120K +,Blue,49,6,2,3,3386.0,1984,1402.0,0.573,1318,37,0.194,0.586,0.00021042,0.99979
715942683,Existing Customer,32,F,3,Graduate,Single,Less than $40K,Blue,36,3,1,3,3555.0,0,3555.0,0.813,2346,71,0.651,0.0,9.6126e-05,0.9999
709682658,Existing Customer,37,F,4,High School,Single,$40K - $60K,Blue,36,5,3,1,3093.0,2517,576.0,0.855,1371,23,0.917,0.814,0.0001106,0.99989
779506158,Existing Customer,39,F,1,College,Married,Less than $40K,Blue,22,3,1,2,3214.0,2257,957.0,1.279,2516,42,0.75,0.702,5.0261e-05,0.99995
720244983,Existing Customer,40,M,3,Unknown,Single,$40K - $60K,Blue,28,4,1,1,3563.0,1707,1856.0,0.506,1482,42,0.312,0.479,3.7884e-05,0.99996
809967783,Existing Customer,34,F,4,Graduate,Divorced,$40K - $60K,Blue,26,5,5,3,3038.0,1539,1499.0,0.707,2189,54,0.688,0.507,0.00035434,0.99965
778573233,Existing Customer,61,F,1,Graduate,Married,Less than $40K,Blue,54,3,2,2,3102.0,2091,1011.0,0.704,1977,50,1.0,0.674,0.00010684,0.99989
708833133,Existing Customer,40,F,3,Graduate,Divorced,Less than $40K,Blue,29,5,2,2,3170.0,2517,653.0,1.301,2027,49,0.815,0.794,0.00011811,0.99988
708134283,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131.0,629,2502.0,0.749,1483,31,0.632,0.201,0.00031104,0.99969
766285608,Existing Customer,42,M,3,High School,Single,$40K - $60K,Blue,35,4,3,3,3266.0,1900,1366.0,1.568,2183,56,0.75,0.582,0.00030516,0.99969
798035358,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,40,3,2,2,3556.0,2172,1384.0,0.402,1221,41,0.708,0.611,0.00011604,0.99988
721397808,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24,5,2,0,3735.0,1176,2559.0,1.184,1564,41,0.708,0.315,3.5025e-05,0.99996
824770683,Existing Customer,51,F,0,Unknown,Divorced,Less than $40K,Blue,47,6,4,3,3049.0,1151,1898.0,0.533,4027,76,0.52,0.378,0.00034484,0.99966
708162558,Existing Customer,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250.0,1992,1258.0,0.715,1355,36,0.565,0.613,4.8595e-05,0.99995
721129383,Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,1,2,3128.0,2517,611.0,0.696,2361,42,0.826,0.805,7.4811e-05,0.99993
714886533,Existing Customer,60,F,2,High School,Married,Less than $40K,Blue,36,4,3,2,3460.0,2517,943.0,1.144,1752,34,1.125,0.727,0.00017486,0.99983
761544333,Existing Customer,37,F,4,College,Married,$40K - $60K,Blue,30,4,4,3,3417.0,2517,900.0,0.992,1641,32,0.882,0.737,0.00037275,0.99963
709624533,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,45,5,2,0,3187.0,2517,670.0,1.144,1627,38,0.652,0.79,4.0816e-05,0.99996
788728608,Existing Customer,34,M,0,High School,Married,$40K - $60K,Blue,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,0.00015005,0.99985
714334383,Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,6,2,0,3583.0,0,3583.0,1.088,1065,28,1.545,0.0,4.1986e-05,0.99996
717295683,Existing Customer,50,M,0,Doctorate,Single,$80K - $120K,Blue,38,5,2,2,3460.0,1881,1579.0,0.622,1546,35,1.059,0.544,0.00014134,0.99986
794664183,Existing Customer,38,M,0,Uneducated,Married,$60K - $80K,Blue,19,3,1,3,3238.0,2146,1092.0,0.673,1501,45,0.667,0.663,8.1736e-05,0.99992
712240083,Attrited Customer,38,F,3,Unknown,Single,Less than $40K,Blue,30,6,2,2,3730.0,2517,1213.0,0.853,858,22,0.467,0.675,0.99236,0.00764
713650683,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,4,3094.0,2266,828.0,0.724,1591,37,0.321,0.732,0.00013562,0.99986
789886533,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,44,3,3,3,3947.0,1746,2201.0,0.478,1110,21,0.4,0.442,0.00027604,0.99972
716996583,Existing Customer,50,M,3,High School,Divorced,$120K +,Blue,37,3,1,2,3073.0,1792,1281.0,1.099,1734,35,1.188,0.583,5.5559e-05,0.99994
715362183,Existing Customer,40,F,4,Graduate,Married,Unknown,Blue,36,3,1,2,3706.0,1043,2663.0,0.384,1688,38,0.583,0.281,5.7762e-05,0.99994
778755858,Existing Customer,46,M,3,Graduate,Unknown,$80K - $120K,Blue,27,5,1,3,3665.0,1725,1940.0,0.495,1881,55,0.618,0.471,9.6126e-05,0.9999
713030958,Existing Customer,57,F,2,College,Married,Less than $40K,Blue,44,6,3,2,3914.0,0,3914.0,0.524,1964,54,0.8,0.0,0.00017488,0.99983
711320508,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,49,4,2,4,3038.0,1410,1628.0,0.644,1762,34,0.7,0.464,0.00034248,0.99966
715049583,Existing Customer,60,M,1,Unknown,Married,$60K - $80K,Blue,54,5,3,3,3398.0,2341,1057.0,0.714,1169,31,0.409,0.689,0.00031211,0.99969
773448558,Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,40,6,3,3,3673.0,2292,1381.0,0.637,1257,34,0.545,0.624,0.0003139,0.99969
754282908,Existing Customer,50,F,1,Post-Graduate,Married,Less than $40K,Blue,43,3,1,3,3368.0,844,2524.0,0.838,2022,59,0.686,0.251,0.00010231,0.9999
712120608,Attrited Customer,35,M,3,College,Married,$80K - $120K,Blue,27,3,2,3,3575.0,1884,1691.0,0.384,861,15,1.5,0.527,0.99485,0.00515
715482483,Existing Customer,26,M,0,High School,Single,Unknown,Blue,36,5,2,3,3184.0,1421,1763.0,0.712,2253,59,0.439,0.446,0.0001597,0.99984
826723308,Existing Customer,58,M,3,College,Married,$120K +,Blue,54,5,1,4,3452.0,2088,1364.0,0.768,1008,21,0.4,0.605,0.00015944,0.99984
709584483,Existing Customer,33,F,3,Graduate,Married,Less than $40K,Blue,25,4,1,4,3030.0,2517,513.0,0.785,1805,44,0.467,0.831,0.00016399,0.99984
709662708,Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,53,3,3,3,3506.0,1604,1902.0,0.574,1953,61,0.649,0.458,0.00027604,0.99972
709224858,Existing Customer,53,M,2,Post-Graduate,Married,$80K - $120K,Blue,36,5,1,2,3610.0,1629,1981.0,0.821,1652,40,0.481,0.451,6.4807e-05,0.99994
821771508,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,1,2,3172.0,2055,1117.0,0.663,1939,36,0.636,0.648,4.5946e-05,0.99995
709364433,Existing Customer,36,F,3,High School,Married,Unknown,Blue,30,6,2,2,3399.0,2173,1226.0,0.795,1571,34,1.0,0.639,0.00011482,0.99989
709793133,Existing Customer,43,F,2,Unknown,Single,$40K - $60K,Blue,36,6,1,4,3186.0,2470,716.0,0.58,1531,37,0.233,0.775,0.00017371,0.99983
719776608,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,37,3,1,3,3126.0,0,3126.0,0.824,1388,41,0.464,0.0,9.2637e-05,0.99991
739594758,Attrited Customer,51,F,2,Graduate,Single,Less than $40K,Blue,44,6,3,2,3181.0,2517,664.0,0.595,818,16,0.455,0.791,0.99447,0.00553
720674133,Existing Customer,36,M,1,Uneducated,Married,$40K - $60K,Blue,16,5,3,2,3735.0,2027,1708.0,0.79,1672,48,0.655,0.543,0.0001736,0.99983
778782858,Existing Customer,60,M,1,Graduate,Single,Less than $40K,Blue,48,5,3,3,3980.0,930,3050.0,0.72,4449,82,0.608,0.234,0.00028395,0.99972
714790008,Existing Customer,38,F,1,Unknown,Single,Less than $40K,Blue,36,3,2,3,3764.0,0,3764.0,0.583,1572,57,0.357,0.0,0.00019751,0.9998
822984108,Existing Customer,34,F,4,High School,Single,Less than $40K,Blue,30,4,1,3,3046.0,2279,767.0,0.611,2330,69,0.643,0.748,9.4447e-05,0.99991
710180958,Existing Customer,43,M,3,High School,Single,$40K - $60K,Blue,33,5,2,3,3040.0,2517,523.0,0.493,1598,31,0.476,0.828,0.00019311,0.99981
714983283,Attrited Customer,39,F,3,High School,Single,Less than $40K,Blue,36,6,1,3,3651.0,0,3651.0,0.977,862,19,1.111,0.0,0.98941,0.01059
789344358,Existing Customer,57,F,1,Unknown,Married,Less than $40K,Blue,47,4,1,3,3416.0,2468,948.0,0.598,1536,42,0.556,0.722,9.5577e-05,0.9999
710406633,Attrited Customer,51,F,3,Uneducated,Married,Unknown,Blue,36,3,3,2,3664.0,0,3664.0,0.839,1168,31,0.409,0.0,0.99482,0.00518
717567333,Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991.0,1982,2009.0,0.748,1661,35,0.944,0.497,0.00018665,0.99981
718726833,Existing Customer,39,M,1,High School,Married,$80K - $120K,Blue,28,4,2,4,3327.0,0,3327.0,1.089,1665,36,0.636,0.0,0.00029799,0.9997
720445533,Existing Customer,60,F,1,College,Married,Less than $40K,Blue,53,4,3,3,3346.0,922,2424.0,0.913,1276,21,0.75,0.276,0.00027607,0.99972
787685658,Existing Customer,43,M,2,High School,Divorced,$80K - $120K,Blue,33,4,3,2,3083.0,1898,1185.0,1.042,1448,30,2.0,0.616,0.00017486,0.99983
715074258,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,36,5,3,3,3930.0,0,3930.0,0.758,2067,42,0.355,0.0,0.0002596,0.99974
717374358,Existing Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,22,3,3,0,3637.0,1998,1639.0,1.412,2161,56,0.931,0.549,6.846e-05,0.99993
751487358,Existing Customer,39,F,3,Graduate,Married,Less than $40K,Blue,32,5,6,3,3221.0,0,3221.0,0.678,1765,40,0.6,0.0,0.00024781,0.99975
