CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Credit_Limit,Test_colum
720572508.0,Existing Customer,38.0,F,4.0,Graduate,Single,Unknown,Blue,28.0,2.0,3.0,3.0,9830.0,2055.0,7775.0,0.977,1042.0,23.0,0.917,0.209,0.00031726,0.99968,9830.0,72
712661433.0,Existing Customer,49.0,M,4.0,Uneducated,Single,$80K - $120K,Blue,30.0,3.0,2.0,3.0,34516.0,0.0,34516.0,1.621,1444.0,28.0,1.333,0.0,0.00020643,0.99979,34516.0,9
789172683.0,Existing Customer,56.0,M,2.0,Doctorate,Married,$60K - $80K,Blue,45.0,6.0,2.0,0.0,2283.0,1430.0,853.0,2.316,1741.0,27.0,0.588,0.626,6.0759e-05,0.99994,2283.0,65
738406533.0,Existing Customer,59.0,M,1.0,Doctorate,Married,$40K - $60K,Blue,52.0,3.0,2.0,2.0,2548.0,2020.0,528.0,2.357,1719.0,27.0,1.7,0.793,0.0001546,0.99985,2548.0,0
799723908.0,Existing Customer,46.0,M,3.0,High School,Married,$80K - $120K,Blue,40.0,4.0,3.0,3.0,19458.0,1435.0,18023.0,0.787,1217.0,27.0,0.8,0.074,0.00030516,0.99969,19458.0,52
771490833.0,Existing Customer,52.0,M,1.0,College,Single,$80K - $120K,Blue,40.0,5.0,1.0,1.0,4745.0,1227.0,3518.0,0.624,1140.0,40.0,0.6,0.259,3.031e-05,0.99997,4745.0,38
720756708.0,Existing Customer,52.0,F,3.0,Unknown,Married,Less than $40K,Blue,41.0,6.0,3.0,2.0,2622.0,1549.0,1073.0,1.321,1878.0,30.0,1.143,0.591,0.00020516,0.99979,2622.0,3
779471883.0,Attrited Customer,54.0,F,1.0,Graduate,Married,Less than $40K,Blue,40.0,2.0,3.0,1.0,1438.3,808.0,630.3,0.997,705.0,19.0,0.9,0.562,0.99028,0.00972,1438.3,26
711525033.0,Existing Customer,66.0,F,0.0,High School,Married,Less than $40K,Blue,54.0,3.0,4.0,2.0,3171.0,2179.0,992.0,1.224,1946.0,38.0,1.923,0.687,0.00018134,0.99982,3171.0,68
712813458.0,Existing Customer,49.0,M,2.0,Unknown,Married,$120K +,Blue,36.0,4.0,2.0,0.0,19763.0,2517.0,17246.0,0.664,1414.0,35.0,0.25,0.127,4.6151e-05,0.99995,19763.0,43
714374133.0,Attrited Customer,56.0,M,2.0,Graduate,Married,$120K +,Blue,36.0,1.0,3.0,3.0,15769.0,0.0,15769.0,1.041,602.0,15.0,0.364,0.0,0.99671,0.00329379,15769.0,7
717891558.0,Existing Customer,49.0,F,4.0,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4.0,2.0,3298.0,2200.0,1098.0,0.678,1052.0,32.0,0.6,0.667,0.00022797,0.99977,3298.0,2
716632758.0,Existing Customer,49.0,F,3.0,Graduate,Single,Less than $40K,Blue,36.0,2.0,2.0,0.0,2802.0,2363.0,439.0,0.75,1295.0,40.0,0.6,0.843,4.3568e-05,0.99996,2802.0,29
768563658.0,Existing Customer,56.0,M,2.0,Uneducated,Married,$40K - $60K,Blue,50.0,4.0,2.0,3.0,4458.0,1880.0,2578.0,1.107,1424.0,29.0,1.417,0.422,0.00019683,0.9998,4458.0,31
711427458.0,Existing Customer,44.0,F,5.0,Graduate,Married,Unknown,Blue,35.0,4.0,1.0,2.0,6273.0,978.0,5295.0,2.275,1359.0,25.0,1.083,0.156,5.6861e-05,0.99994,6273.0,56
714091983.0,Existing Customer,42.0,M,2.0,High School,Single,$60K - $80K,Blue,34.0,4.0,4.0,3.0,3336.0,1753.0,1583.0,0.69,1168.0,27.0,1.25,0.525,0.00035539,0.99964,3336.0,87
787584108.0,Existing Customer,55.0,M,3.0,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2.0,3.0,3436.0,2016.0,1420.0,0.901,1097.0,33.0,0.833,0.587,0.00021834,0.99978,3436.0,85
712030833.0,Attrited Customer,48.0,M,2.0,Graduate,Married,$60K - $80K,Silver,35.0,2.0,4.0,4.0,34516.0,0.0,34516.0,0.763,691.0,15.0,0.5,0.0,0.99823,0.00177065,34516.0,89
711481533.0,Existing Customer,39.0,M,1.0,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3.0,3.0,5926.0,1251.0,4675.0,0.944,1316.0,28.0,1.154,0.211,0.00027604,0.99972,5926.0,34
710082708.0,Existing Customer,44.0,M,4.0,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4.0,2.0,23957.0,2102.0,21855.0,0.997,1276.0,26.0,0.733,0.088,0.00026824,0.99973,23957.0,42
708155733.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.111,0.00011065,0.99989,14734.0,39
788979258.0,Existing Customer,51.0,M,4.0,Uneducated,Single,$80K - $120K,Silver,38.0,4.0,1.0,4.0,34516.0,1515.0,33001.0,0.592,1293.0,32.0,0.6,0.044,0.00015398,0.99985,34516.0,72
807986133.0,Existing Customer,57.0,M,2.0,College,Married,$60K - $80K,Blue,52.0,5.0,3.0,3.0,6584.0,1817.0,4767.0,0.62,1353.0,35.0,0.667,0.276,0.00029411,0.99971,6584.0,5
788730933.0,Existing Customer,44.0,F,2.0,Uneducated,Single,Less than $40K,Blue,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704,0.00031104,0.99969,2084.0,84
711314058.0,Existing Customer,49.0,M,2.0,Graduate,Married,$60K - $80K,Blue,32.0,2.0,2.0,2.0,1687.0,1107.0,580.0,1.715,1670.0,17.0,2.4,0.656,0.00011382,0.99989,1687.0,19
717975333.0,Existing Customer,50.0,M,2.0,Doctorate,Married,$80K - $120K,Blue,38.0,6.0,2.0,2.0,25300.0,1330.0,23970.0,1.072,837.0,15.0,2.0,0.053,0.00016471,0.99984,25300.0,18
715971108.0,Existing Customer,51.0,M,4.0,Graduate,Single,$120K +,Blue,42.0,3.0,2.0,3.0,34516.0,1763.0,32753.0,1.266,1550.0,41.0,1.05,0.051,0.00020077,0.9998,34516.0,61
720096558.0,Existing Customer,55.0,F,2.0,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,3.0,2216.0,1034.0,1182.0,0.758,1540.0,36.0,0.286,0.467,0.00030251,0.9997,2216.0,13
719580033.0,Existing Customer,54.0,M,1.0,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2.0,3.0,2910.0,2030.0,880.0,0.769,1256.0,21.0,0.4,0.698,0.00017969,0.99982,2910.0,45
820582308.0,Existing Customer,42.0,M,5.0,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2.0,2.0,22913.0,1528.0,21385.0,0.414,1394.0,35.0,0.522,0.067,0.00012082,0.99988,22913.0,91
789973308.0,Existing Customer,44.0,M,1.0,College,Single,$60K - $80K,Blue,35.0,3.0,3.0,3.0,24312.0,1932.0,22380.0,1.312,1341.0,24.0,1.182,0.079,0.00027607,0.99972,24312.0,75
712876233.0,Existing Customer,53.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287,0.00017987,0.99982,5272.0,10
804595158.0,Existing Customer,44.0,F,4.0,Graduate,Single,Less than $40K,Blue,36.0,6.0,4.0,2.0,7000.0,2517.0,4483.0,0.475,1112.0,23.0,1.875,0.36,0.00022797,0.99977,7000.0,32
714826758.0,Existing Customer,37.0,F,3.0,Uneducated,Single,Less than $40K,Blue,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.751,2339.0,57.0,0.966,0.256,0.00023192,0.99977,7038.0,77
779058108.0,Existing Customer,49.0,M,3.0,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.719,5.7151e-05,0.99994,2536.0,90
710790258.0,Existing Customer,47.0,M,2.0,Graduate,Married,$80K - $120K,Blue,38.0,6.0,3.0,2.0,28904.0,1899.0,27005.0,0.85,1334.0,35.0,0.4,0.066,0.00017987,0.99982,28904.0,53
715623483.0,Existing Customer,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,37.0,4.0,4.0,0.0,8567.0,1695.0,6872.0,1.242,1457.0,41.0,1.412,0.198,8.3212e-05,0.99992,8567.0,61
715156383.0,Existing Customer,44.0,M,1.0,Unknown,Unknown,$120K +,Blue,36.0,6.0,2.0,2.0,34516.0,1533.0,32983.0,0.924,1603.0,29.0,0.526,0.044,0.00011743,0.99988,34516.0,90
711013983.0,Attrited Customer,55.0,F,4.0,Unknown,Married,$40K - $60K,Blue,45.0,2.0,4.0,3.0,2158.0,0.0,2158.0,0.585,615.0,12.0,0.714,0.0,0.99763,0.00236635,2158.0,99
755420433.0,Existing Customer,59.0,F,1.0,Graduate,Married,Unknown,Blue,52.0,2.0,3.0,3.0,10133.0,1417.0,8716.0,0.383,1068.0,20.0,0.818,0.14,0.00028395,0.99972,10133.0,17
794543958.0,Existing Customer,53.0,M,1.0,Graduate,Divorced,$80K - $120K,Blue,35.0,5.0,4.0,2.0,34516.0,1219.0,33297.0,1.129,1590.0,27.0,2.0,0.035,0.00020404,0.9998,34516.0,20
716396358.0,Existing Customer,52.0,M,2.0,Graduate,Married,$60K - $80K,Blue,47.0,5.0,3.0,0.0,3085.0,1910.0,1175.0,0.921,1531.0,35.0,0.667,0.619,6.6354e-05,0.99993,3085.0,59
715398033.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,35.0,4.0,2.0,1.0,19040.0,2056.0,16984.0,0.607,1212.0,31.0,0.722,0.108,6.6728e-05,0.99993,19040.0,9
711743883.0,Existing Customer,43.0,F,3.0,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2.0,3.0,4026.0,0.0,4026.0,0.483,1237.0,32.0,0.6,0.0,0.00020424,0.9998,4026.0,52
719720058.0,Existing Customer,44.0,M,3.0,High School,Single,$60K - $80K,Blue,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.0,1.8,0.066,0.00010943,0.99989,12756.0,17
778992108.0,Existing Customer,57.0,M,2.0,Unknown,Married,$120K +,Blue,45.0,5.0,3.0,3.0,5266.0,0.0,5266.0,1.702,1516.0,29.0,1.636,0.0,0.00033251,0.99967,5266.0,74
717539808.0,Existing Customer,51.0,F,2.0,High School,Single,Less than $40K,Blue,36.0,3.0,2.0,2.0,9930.0,0.0,9930.0,0.731,1276.0,21.0,1.333,0.0,0.00011065,0.99989,9930.0,26
714070758.0,Existing Customer,49.0,M,4.0,High School,Single,$80K - $120K,Blue,38.0,4.0,3.0,0.0,31302.0,1953.0,29349.0,0.875,1564.0,35.0,2.182,0.062,6.765e-05,0.99993,31302.0,15
714107958.0,Existing Customer,45.0,M,1.0,Graduate,Single,$40K - $60K,Blue,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,0.619,0.0,0.00034315,0.99966,6576.0,50
789140283.0,Existing Customer,53.0,M,0.0,Graduate,Single,$80K - $120K,Blue,42.0,5.0,4.0,1.0,2664.0,2037.0,627.0,0.85,1286.0,29.0,0.933,0.765,0.0001125,0.99989,2664.0,52
715550508.0,Existing Customer,45.0,F,3.0,Unknown,Married,Unknown,Blue,28.0,5.0,1.0,2.0,2535.0,2440.0,95.0,1.705,1312.0,20.0,1.222,0.963,6.282e-05,0.99994,2535.0,22
719712633.0,Existing Customer,64.0,M,1.0,Graduate,Married,Less than $40K,Blue,52.0,6.0,4.0,3.0,1709.0,895.0,814.0,1.656,1673.0,32.0,0.882,0.524,0.00034315,0.99966,1709.0,64
772629333.0,Existing Customer,45.0,M,3.0,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4.0,2.0,3454.0,1200.0,2254.0,0.597,1313.0,30.0,0.304,0.347,0.00022556,0.99977,3454.0,26
720336708.0,Existing Customer,53.0,M,3.0,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45,0.00027008,0.99973,3789.0,74
802013583.0,Existing Customer,56.0,M,3.0,College,Married,$120K +,Blue,50.0,3.0,2.0,0.0,9689.0,2250.0,7439.0,0.576,1158.0,19.0,0.727,0.232,4.2358e-05,0.99996,9689.0,3
711887583.0,Attrited Customer,47.0,M,2.0,Unknown,Married,$80K - $120K,Blue,37.0,2.0,3.0,3.0,5449.0,1628.0,3821.0,0.696,836.0,18.0,0.385,0.299,0.997,0.00299743,5449.0,40
714778833.0,Existing Customer,49.0,F,3.0,College,Single,Unknown,Blue,43.0,4.0,4.0,0.0,23032.0,1960.0,21072.0,0.619,1289.0,22.0,1.0,0.085,8.0901e-05,0.99992,23032.0,70
713843283.0,Existing Customer,41.0,F,3.0,Unknown,Married,Unknown,Silver,34.0,5.0,3.0,3.0,34516.0,2053.0,32463.0,1.034,1487.0,26.0,0.733,0.059,0.00031177,0.99969,34516.0,96
779155158.0,Existing Customer,53.0,M,3.0,Graduate,Married,$120K +,Blue,34.0,6.0,2.0,2.0,2940.0,1264.0,1676.0,0.562,1259.0,33.0,0.5,0.43,0.00011811,0.99988,2940.0,83
721091583.0,Existing Customer,44.0,F,2.0,Graduate,Single,Less than $40K,Blue,32.0,3.0,3.0,3.0,3031.0,1879.0,1152.0,0.788,1298.0,15.0,1.5,0.62,0.00030251,0.9997,3031.0,0
713572683.0,Existing Customer,44.0,M,3.0,High School,Unknown,$60K - $80K,Blue,25.0,3.0,3.0,0.0,1862.0,0.0,1862.0,0.883,1226.0,34.0,0.789,0.0,6.6935e-05,0.99993,1862.0,84
716657058.0,Existing Customer,43.0,F,4.0,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,0.00037329,0.99963,8358.0,48
779509983.0,Existing Customer,53.0,M,2.0,Post-Graduate,Single,$120K +,Blue,36.0,6.0,1.0,2.0,34516.0,931.0,33585.0,0.828,1022.0,21.0,1.1,0.027,6.4807e-05,0.99994,34516.0,62
717929133.0,Existing Customer,44.0,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,5.0,2.0,3.0,14450.0,2440.0,12010.0,1.283,1235.0,30.0,0.667,0.169,0.00018475,0.99982,14450.0,5
808284783.0,Existing Customer,62.0,F,1.0,Unknown,Married,Less than $40K,Blue,56.0,6.0,0.0,0.0,1438.3,0.0,1438.3,0.813,1951.0,44.0,1.095,0.0,7.7559e-06,0.99999,1438.3,24
708476808.0,Existing Customer,54.0,M,4.0,Unknown,Divorced,$120K +,Blue,36.0,6.0,3.0,2.0,33791.0,1960.0,31831.0,0.618,1047.0,31.0,0.824,0.058,0.00020735,0.99979,33791.0,39
710916408.0,Existing Customer,57.0,M,4.0,Graduate,Married,$60K - $80K,Blue,39.0,4.0,3.0,0.0,8466.0,1886.0,6580.0,0.56,1342.0,32.0,0.391,0.223,6.9589e-05,0.99993,8466.0,30
708492558.0,Existing Customer,42.0,M,3.0,Unknown,Married,$60K - $80K,Blue,36.0,5.0,3.0,3.0,15088.0,865.0,14223.0,0.939,1107.0,21.0,1.625,0.057,0.00034503,0.99965,15088.0,87
799825758.0,Existing Customer,42.0,M,4.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.346,0.513,5.6153e-05,0.99994,3263.0,53
718619883.0,Existing Customer,54.0,F,0.0,Uneducated,Married,Less than $40K,Blue,36.0,2.0,2.0,2.0,1494.0,706.0,788.0,1.674,1305.0,24.0,3.0,0.473,0.00010043,0.9999,1494.0,12
711844758.0,Existing Customer,48.0,M,3.0,Graduate,Single,$80K - $120K,Blue,35.0,6.0,1.0,0.0,13551.0,1294.0,12257.0,0.791,1388.0,37.0,1.056,0.095,2.1081e-05,0.99998,13551.0,68
714798783.0,Existing Customer,49.0,M,1.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,2.0,18886.0,895.0,17991.0,1.826,1235.0,18.0,1.571,0.047,0.00010684,0.99989,18886.0,58
826762908.0,Existing Customer,52.0,M,3.0,High School,Unknown,$80K - $120K,Blue,48.0,3.0,2.0,0.0,11976.0,1273.0,10703.0,1.024,2089.0,36.0,1.118,0.106,4.2354e-05,0.99996,11976.0,88
771894558.0,Existing Customer,50.0,M,3.0,High School,Single,$80K - $120K,Blue,39.0,4.0,1.0,4.0,9964.0,1559.0,8405.0,1.873,1626.0,25.0,0.786,0.156,0.00015942,0.99984,9964.0,46
